model,level,n_tp,n_fp,fp_rate,iou_mean,iou_std,conf_mean
baseline,clear,13201,388,0.0286,0.7972,0.0843,0.8213
baseline,fog_i00,8912,690,0.0719,0.7375,0.0979,0.6639
baseline,fog_i01,6494,886,0.1201,0.7179,0.0975,0.5977
baseline,fog_i02,3351,905,0.2126,0.7040,0.1013,0.5460
baseline,fog_i03,1310,489,0.2718,0.7109,0.1021,0.5240
baseline,fog_i04,525,248,0.3208,0.7250,0.1028,0.5200
baseline,fog_i05,264,225,0.4601,0.7334,0.1047,0.5192
baseline,fog_i06,152,208,0.5778,0.7269,0.1066,0.5222
baseline,fog_i07,97,162,0.6255,0.7112,0.1072,0.5231
baseline,fog_i08,58,125,0.6831,0.7362,0.0955,0.5636
baseline,fog_i09,48,108,0.6923,0.7317,0.0798,0.5351
fogaware,clear,12932,1143,0.0812,0.7848,0.0908,0.8097
fogaware,fog_i00,12599,1061,0.0777,0.7808,0.0954,0.8029
fogaware,fog_i01,12371,1354,0.0987,0.7790,0.0955,0.7975
fogaware,fog_i02,11994,1725,0.1257,0.7760,0.0962,0.7924
fogaware,fog_i03,11761,1937,0.1414,0.7694,0.0961,0.7893
fogaware,fog_i04,11369,2303,0.1684,0.7623,0.0969,0.7819
fogaware,fog_i05,10795,3007,0.2179,0.7496,0.1006,0.7701
fogaware,fog_i06,9895,3613,0.2675,0.7379,0.1044,0.7584
fogaware,fog_i07,8164,4377,0.3490,0.7301,0.1089,0.7499
fogaware,fog_i08,6070,4462,0.4237,0.7192,0.1104,0.7364
fogaware,fog_i09,3732,4089,0.5228,0.7111,0.1122,0.7181
