condition,i,beta,category,n_gt,P,R,F1,mAP@0.5,mAP@0.5:0.95
clear,,,small,2434,0.9152,0.9174,0.9163,0.9466,0.5168
clear,,,medium,4159,0.9452,0.7925,0.8622,0.8586,0.4719
clear,,,large,7849,0.9942,0.8527,0.9180,0.8929,0.5325
clear,,,all,14442,0.9601,0.8442,0.8984,0.8938,0.5109
fog0,0,0.05,small,2434,0.6947,0.7432,0.7181,0.7238,0.2084
fog0,0,0.05,medium,4145,0.8424,0.5650,0.6764,0.6747,0.2896
fog0,0,0.05,large,7705,0.8421,0.5572,0.6706,0.7070,0.2975
fog0,0,0.05,all,14284,0.7944,0.5636,0.6594,0.6688,0.2587
fog1,1,0.06,small,2434,0.5383,0.5456,0.5419,0.5064,0.1399
fog1,1,0.06,medium,4144,0.7613,0.4556,0.5700,0.5744,0.2260
fog1,1,0.06,large,7689,0.7674,0.3115,0.4431,0.5571,0.2161
fog1,1,0.06,all,14267,0.6161,0.3910,0.4784,0.4786,0.1684
fog2,2,0.07,small,2378,0.3298,0.5172,0.4028,0.3164,0.0927
fog2,2,0.07,medium,4110,0.6233,0.3389,0.4391,0.4648,0.1677
fog2,2,0.07,large,7689,0.8218,0.1362,0.2336,0.4811,0.1989
fog2,2,0.07,all,14177,0.4622,0.2623,0.3346,0.3382,0.1150
fog3,3,0.08,small,2434,0.2373,0.3040,0.2666,0.1843,0.0602
fog3,3,0.08,medium,4144,0.4682,0.2295,0.3080,0.3544,0.1249
fog3,3,0.08,large,7689,0.7806,0.0680,0.1251,0.4239,0.1658
fog3,3,0.08,all,14267,0.3497,0.1606,0.2201,0.2453,0.0840
fog4,4,0.09,small,2434,0.1676,0.1356,0.1499,0.1065,0.0399
fog4,4,0.09,medium,4144,0.3177,0.0997,0.1517,0.2064,0.0775
fog4,4,0.09,large,7689,0.6773,0.0303,0.0580,0.3524,0.1353
fog4,4,0.09,all,14267,0.2544,0.0692,0.1088,0.1530,0.0563
fog5,5,0.1,small,2434,0.1105,0.0785,0.0918,0.0705,0.0289
fog5,5,0.1,medium,4144,0.2601,0.0483,0.0814,0.1473,0.0581
fog5,5,0.1,large,7689,0.5470,0.0129,0.0252,0.2722,0.1123
fog5,5,0.1,all,14267,0.1819,0.0343,0.0578,0.1017,0.0408
fog6,6,0.11,small,2434,0.0899,0.0489,0.0633,0.0493,0.0215
fog6,6,0.11,medium,4144,0.1764,0.0227,0.0402,0.0968,0.0399
fog6,6,0.11,large,7689,0.4375,0.0064,0.0126,0.2173,0.0950
fog6,6,0.11,all,14267,0.1223,0.0186,0.0323,0.0673,0.0285
fog7,7,0.12,small,2434,0.0678,0.0292,0.0408,0.0356,0.0163
fog7,7,0.12,medium,4144,0.1404,0.0140,0.0255,0.0695,0.0297
fog7,7,0.12,large,7689,0.3793,0.0043,0.0085,0.1914,0.0789
fog7,7,0.12,all,14267,0.0956,0.0116,0.0206,0.0509,0.0220
fog8,8,0.13,small,2434,0.0581,0.0201,0.0299,0.0298,0.0140
fog8,8,0.13,medium,4144,0.0788,0.0070,0.0129,0.0434,0.0202
fog8,8,0.13,large,7689,0.3968,0.0033,0.0064,0.1876,0.0790
fog8,8,0.13,all,14267,0.0708,0.0074,0.0133,0.0397,0.0176
fog9,9,0.14,small,2434,0.0476,0.0160,0.0240,0.0278,0.0130
fog9,9,0.14,medium,4144,0.0541,0.0041,0.0076,0.0317,0.0140
fog9,9,0.14,large,7612,0.3065,0.0025,0.0050,0.1523,0.0589
fog9,9,0.14,all,14190,0.0602,0.0053,0.0097,0.0349,0.0149
