condition,i,beta,category,n_gt,P,R,F1,mAP@0.5,mAP@0.5:0.95
clear,,,small,2434,0.8642,0.7453,0.8004,0.8189,0.3952
clear,,,medium,4159,0.9159,0.7826,0.8440,0.8471,0.4374
clear,,,large,7849,0.9913,0.8455,0.9126,0.8978,0.5246
clear,,,all,14442,0.9366,0.8023,0.8643,0.8652,0.4708
fog0,0,0.05,small,2434,0.8542,0.7823,0.8166,0.8357,0.3954
fog0,0,0.05,medium,4145,0.9155,0.7189,0.8054,0.7937,0.4159
fog0,0,0.05,large,7705,0.9851,0.8323,0.9023,0.8849,0.5170
fog0,0,0.05,all,14284,0.9300,0.7802,0.8486,0.8444,0.4584
fog1,1,0.06,small,2434,0.8175,0.7527,0.7837,0.8120,0.3742
fog1,1,0.06,medium,4144,0.9144,0.7013,0.7938,0.7815,0.4010
fog1,1,0.06,large,7689,0.9888,0.8255,0.8998,0.8821,0.5100
fog1,1,0.06,all,14267,0.9340,0.7583,0.8370,0.8341,0.4468
fog2,2,0.07,small,2378,0.8153,0.6758,0.7390,0.7444,0.3426
fog2,2,0.07,medium,4110,0.8973,0.6800,0.7737,0.7635,0.3830
fog2,2,0.07,large,7689,0.9860,0.8157,0.8928,0.8727,0.4969
fog2,2,0.07,all,14177,0.9208,0.7394,0.8202,0.8133,0.4312
fog3,3,0.08,small,2434,0.8633,0.6072,0.7130,0.6930,0.3148
fog3,3,0.08,medium,4144,0.8729,0.6511,0.7458,0.7390,0.3551
fog3,3,0.08,large,7689,0.9774,0.8256,0.8951,0.8712,0.4876
fog3,3,0.08,all,14267,0.9096,0.7243,0.8064,0.7989,0.4153
fog4,4,0.09,small,2434,0.8413,0.5793,0.6861,0.6475,0.2811
fog4,4,0.09,medium,4144,0.8289,0.6079,0.7014,0.6940,0.3235
fog4,4,0.09,large,7689,0.9649,0.8260,0.8901,0.8649,0.4669
fog4,4,0.09,all,14267,0.8804,0.7102,0.7862,0.7744,0.3895
fog5,5,0.1,small,2434,0.8145,0.5357,0.6463,0.6151,0.2441
fog5,5,0.1,medium,4144,0.7614,0.5714,0.6529,0.6268,0.2817
fog5,5,0.1,large,7689,0.9609,0.7638,0.8511,0.8213,0.4149
fog5,5,0.1,all,14267,0.8404,0.6535,0.7352,0.7157,0.3399
fog6,6,0.11,small,2434,0.7026,0.5136,0.5934,0.5352,0.1870
fog6,6,0.11,medium,4144,0.6792,0.5125,0.5842,0.5470,0.2380
fog6,6,0.11,large,7689,0.9486,0.7061,0.8096,0.7596,0.3685
fog6,6,0.11,all,14267,0.7737,0.5981,0.6747,0.6430,0.2931
fog7,7,0.12,small,2434,0.6737,0.4088,0.5088,0.4424,0.1428
fog7,7,0.12,medium,4144,0.5538,0.4375,0.4888,0.4214,0.1743
fog7,7,0.12,large,7689,0.9108,0.5886,0.7151,0.6211,0.2942
fog7,7,0.12,all,14267,0.7254,0.4791,0.5770,0.5214,0.2305
fog8,8,0.13,small,2434,0.6404,0.3578,0.4591,0.3825,0.1146
fog8,8,0.13,medium,4144,0.4897,0.3159,0.3840,0.2892,0.1139
fog8,8,0.13,large,7689,0.8861,0.4170,0.5671,0.4376,0.1913
fog8,8,0.13,all,14267,0.6231,0.3634,0.4591,0.3760,0.1547
fog9,9,0.14,small,2434,0.4854,0.2806,0.3556,0.2656,0.0765
fog9,9,0.14,medium,4144,0.3832,0.2015,0.2641,0.1501,0.0592
fog9,9,0.14,large,7612,0.8517,0.2588,0.3970,0.2707,0.1122
fog9,9,0.14,all,14190,0.4964,0.2372,0.3210,0.2239,0.0886
