model,level,metric,n_models,mean,std,seed1,seed2,seed3
baseline,clear,precision,3,0.9706666666666667,0.0028867513459481316,0.969,0.974,0.969
baseline,clear,recall,3,0.919,0.0030000000000000027,0.916,0.919,0.922
baseline,clear,map50,3,0.956,0.0010000000000000009,0.955,0.957,0.956
baseline,clear,map50_95,3,0.567,0.001732050807568879,0.566,0.569,0.566
baseline,fog_i00,precision,3,0.8663333333333333,0.02250185177565025,0.889,0.866,0.844
baseline,fog_i00,recall,3,0.7446666666666667,0.028112867753634363,0.726,0.777,0.731
baseline,fog_i00,map50,3,0.819,0.019999999999999962,0.819,0.839,0.799
baseline,fog_i00,map50_95,3,0.37333333333333335,0.01677299416721218,0.382,0.384,0.354
baseline,fog_i01,precision,3,0.7996666666666666,0.030566866593311978,0.829,0.802,0.768
baseline,fog_i01,recall,3,0.5796666666666667,0.03842308333974944,0.556,0.624,0.559
baseline,fog_i01,map50,3,0.6786666666666666,0.03172275734127366,0.683,0.708,0.645
baseline,fog_i01,map50_95,3,0.2783333333333333,0.020428737928059403,0.287,0.293,0.255
baseline,fog_i02,precision,3,0.7266666666666667,0.02484619353811232,0.74,0.742,0.698
baseline,fog_i02,recall,3,0.3823333333333333,0.02830783166074952,0.367,0.415,0.365
baseline,fog_i02,map50,3,0.503,0.03204684071792416,0.501,0.536,0.472
baseline,fog_i02,map50_95,3,0.188,0.016522711641858295,0.189,0.204,0.171
baseline,fog_i03,precision,3,0.339,0.02487971060924945,0.366,0.334,0.317
baseline,fog_i03,recall,3,0.36233333333333334,0.03008875759039135,0.331,0.391,0.365
baseline,fog_i03,map50,3,0.3363333333333333,0.016862186493255635,0.344,0.348,0.317
baseline,fog_i03,map50_95,3,0.12233333333333334,0.008144527815247077,0.128,0.126,0.113
baseline,fog_i04,precision,3,0.31966666666666665,0.041585253796668525,0.367,0.303,0.289
baseline,fog_i04,recall,3,0.187,0.008000000000000007,0.179,0.195,0.187
baseline,fog_i04,map50,3,0.22933333333333333,0.02250185177565023,0.255,0.22,0.213
baseline,fog_i04,map50_95,3,0.0881,0.008981647955692763,0.0984,0.084,0.0819
baseline,fog_i05,precision,3,0.25766666666666665,0.0434664621672081,0.307,0.225,0.241
baseline,fog_i05,recall,3,0.0828,0.0011000000000000038,0.0817,0.0828,0.0839
baseline,fog_i05,map50,3,0.15533333333333332,0.0238607068908977,0.182,0.136,0.148
baseline,fog_i05,map50_95,3,0.06553333333333333,0.01005402075457045,0.0767,0.0572,0.0627
baseline,fog_i06,precision,3,0.18066666666666667,0.019857828011475308,0.198,0.159,0.185
baseline,fog_i06,recall,3,0.0422,0.0017776388834631176,0.0402,0.0428,0.0436
baseline,fog_i06,map50,3,0.1038,0.010474731500138801,0.113,0.0924,0.106
baseline,fog_i06,map50_95,3,0.046933333333333334,0.005671272637894719,0.0523,0.041,0.0475
baseline,fog_i07,precision,3,0.14566666666666667,0.024785748593361745,0.168,0.119,0.15
baseline,fog_i07,recall,3,0.025566666666666668,0.0007571877794400371,0.0261,0.0247,0.0259
baseline,fog_i07,map50,3,0.08153333333333333,0.012751993308237475,0.093,0.0678,0.0838
baseline,fog_i07,map50_95,3,0.0378,0.006202418882984283,0.0439,0.0315,0.038
baseline,fog_i08,precision,3,0.11346666666666667,0.025877660893777348,0.134,0.0844,0.122
baseline,fog_i08,recall,3,0.015766666666666665,0.0005859465277082309,0.016,0.0151,0.0162
baseline,fog_i08,map50,3,0.0632,0.012833939379629311,0.0731,0.0487,0.0678
baseline,fog_i08,map50_95,3,0.02936666666666667,0.0053304158687041804,0.0333,0.0233,0.0315
baseline,fog_i09,precision,3,0.08536666666666666,0.012139741897311216,0.0949,0.0717,0.0895
baseline,fog_i09,recall,3,0.010346666666666665,0.0003827967258654826,0.00994,0.0107,0.0104
baseline,fog_i09,map50,3,0.0478,0.005935486500700682,0.0524,0.0411,0.0499
baseline,fog_i09,map50_95,3,0.022466666666666666,0.0025324559884296782,0.0244,0.0196,0.0234
fogaware,clear,precision,3,0.946,0.011999999999999955,0.934,0.946,0.958
fogaware,clear,recall,3,0.8956666666666667,0.008736894948054113,0.886,0.903,0.898
fogaware,clear,map50,3,0.938,0.008717797887081291,0.928,0.944,0.942
fogaware,clear,map50_95,3,0.5153333333333333,0.006429100507328643,0.508,0.52,0.518
fogaware,fog_i00,precision,3,0.9423333333333334,0.008144527815247021,0.946,0.933,0.948
fogaware,fog_i00,recall,3,0.8623333333333333,0.006429100507328643,0.865,0.867,0.855
fogaware,fog_i00,map50,3,0.9153333333333333,0.0035118845842842493,0.919,0.915,0.912
fogaware,fog_i00,map50_95,3,0.49633333333333335,0.0005773502691896262,0.496,0.496,0.497
fogaware,fog_i01,precision,3,0.9353333333333333,0.0011547005383792525,0.936,0.934,0.936
fogaware,fog_i01,recall,3,0.8443333333333333,0.0035118845842842493,0.848,0.844,0.841
fogaware,fog_i01,map50,3,0.9003333333333333,0.0030550504633038962,0.903,0.901,0.897
fogaware,fog_i01,map50_95,3,0.482,0.0020000000000000018,0.484,0.482,0.48
fogaware,fog_i02,precision,3,0.9263333333333333,0.008144527815247085,0.93,0.917,0.932
fogaware,fog_i02,recall,3,0.8156666666666667,0.004725815626252569,0.814,0.821,0.812
fogaware,fog_i02,map50,3,0.882,0.002645751311064593,0.884,0.883,0.879
fogaware,fog_i02,map50_95,3,0.4633333333333334,0.0037859388972001857,0.466,0.465,0.459
fogaware,fog_i03,precision,3,0.9193333333333333,0.004725815626252613,0.921,0.914,0.923
fogaware,fog_i03,recall,3,0.7896666666666667,0.0032145502536643214,0.792,0.791,0.786
fogaware,fog_i03,map50,3,0.86,0.003464101615137758,0.862,0.862,0.856
fogaware,fog_i03,map50_95,3,0.43666666666666665,0.004932882862316252,0.44,0.439,0.431
fogaware,fog_i04,precision,3,0.8996666666666667,0.010016652800877822,0.91,0.89,0.899
fogaware,fog_i04,recall,3,0.7596666666666667,0.002309401076758505,0.757,0.761,0.761
fogaware,fog_i04,map50,3,0.8293333333333333,0.0035118845842842493,0.833,0.829,0.826
fogaware,fog_i04,map50_95,3,0.408,0.005567764362829997,0.413,0.409,0.402
fogaware,fog_i05,precision,3,0.8686666666666667,0.014047538337136997,0.882,0.854,0.87
fogaware,fog_i05,recall,3,0.7093333333333333,0.0037859388972001857,0.711,0.712,0.705
fogaware,fog_i05,map50,3,0.7796666666666667,0.004725815626252613,0.785,0.778,0.776
fogaware,fog_i05,map50_95,3,0.365,0.0030000000000000027,0.368,0.365,0.362
fogaware,fog_i06,precision,3,0.8053333333333333,0.009291573243177531,0.808,0.795,0.813
fogaware,fog_i06,recall,3,0.6533333333333333,0.010263202878893778,0.662,0.656,0.642
fogaware,fog_i06,map50,3,0.7033333333333333,0.006806859285554052,0.711,0.701,0.698
fogaware,fog_i06,map50_95,3,0.31366666666666665,0.0035118845842842493,0.317,0.314,0.31
fogaware,fog_i07,precision,3,0.7406666666666667,0.007371114795832,0.749,0.735,0.738
fogaware,fog_i07,recall,3,0.5363333333333333,0.0030550504633038962,0.539,0.537,0.533
fogaware,fog_i07,map50,3,0.5656666666666667,0.007234178138070178,0.574,0.562,0.561
fogaware,fog_i07,map50_95,3,0.243,0.0020000000000000018,0.245,0.243,0.241
fogaware,fog_i08,precision,3,0.6453333333333333,0.013012814197295434,0.658,0.646,0.632
