model,seed,level,images,instances,precision,recall,map50,map50_95,log_file
baseline,1,clear,15570,14443,0.969,0.916,0.955,0.566,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_clear.log
baseline,1,fog_i00,15412,14285,0.889,0.726,0.819,0.382,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i00.log
baseline,1,fog_i01,15370,14268,0.829,0.556,0.683,0.287,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i01.log
baseline,1,fog_i02,15280,14178,0.74,0.367,0.501,0.189,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i02.log
baseline,1,fog_i03,15370,14268,0.366,0.331,0.344,0.128,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i03.log
baseline,1,fog_i04,15370,14268,0.367,0.179,0.255,0.0984,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i04.log
baseline,1,fog_i05,15370,14268,0.307,0.0817,0.182,0.0767,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i05.log
baseline,1,fog_i06,15370,14268,0.198,0.0402,0.113,0.0523,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i06.log
baseline,1,fog_i07,15370,14268,0.168,0.0261,0.093,0.0439,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i07.log
baseline,1,fog_i08,15370,14268,0.134,0.016,0.0731,0.0333,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i08.log
baseline,1,fog_i09,15293,14191,0.0949,0.00994,0.0524,0.0244,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed1_fog_i09.log
baseline,2,clear,15570,14443,0.974,0.919,0.957,0.569,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_clear.log
baseline,2,fog_i00,15412,14285,0.866,0.777,0.839,0.384,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i00.log
baseline,2,fog_i01,15370,14268,0.802,0.624,0.708,0.293,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i01.log
baseline,2,fog_i02,15280,14178,0.742,0.415,0.536,0.204,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i02.log
baseline,2,fog_i03,15370,14268,0.334,0.391,0.348,0.126,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i03.log
baseline,2,fog_i04,15370,14268,0.303,0.195,0.22,0.084,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i04.log
baseline,2,fog_i05,15370,14268,0.225,0.0828,0.136,0.0572,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i05.log
baseline,2,fog_i06,15370,14268,0.159,0.0428,0.0924,0.041,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i06.log
baseline,2,fog_i07,15370,14268,0.119,0.0247,0.0678,0.0315,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i07.log
baseline,2,fog_i08,15370,14268,0.0844,0.0151,0.0487,0.0233,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i08.log
baseline,2,fog_i09,15293,14191,0.0717,0.0107,0.0411,0.0196,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed2_fog_i09.log
baseline,3,clear,15570,14443,0.969,0.922,0.956,0.566,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed3_clear.log
baseline,3,fog_i00,15412,14285,0.844,0.731,0.799,0.354,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed3_fog_i00.log
baseline,3,fog_i01,15370,14268,0.768,0.559,0.645,0.255,runs/val/inference_seeds_metrics/logs/seedtest_baseline_seed3_fog_i01.log
